,Archibald Park Cyclists,Beach Rd Cyclists,Carlton Gore Rd Cyclists,Curran St,Dominion Rd,East Coast Rd Cyclists,Franklin Road,GI TO TAMAKI DR SECTION-1 Cyclists,Grafton Bridge Cyclists,Grafton Gully Cyclists,Grafton Rd Cyclists,Great North Rd NB Towards CBD Cyclists,Great South Rd,Highbrook Pathway Cyclists,Hopetoun St Cyclists,Karangahape Rd Cyclists,Lagoon Dr Cyclists,Lake Rd Northcote Cyclists,Lake Road Total Cyclists New,Leigh Rd Shared Path Cyclists,Lightpath Cyclists,Mangere Bridge Cyclists,Mangere Safe Routes Cyclists,Nelson St Cyclists,NW Cycleway Kingsland Cyclists,NW Cycleway TeAtatu Cyclists,Oceanview Rd Cyclists,Orewa Path Cyclists,Ormiston Rd,Quay St - Spark Arena,Quay St Eco Display Classic Cyclists,Queen St Pukekohe Cyclists,Rankin Ave Shared Path Cyclists,Saint Lukes Rd,SH20A Shared Path Cyclists,SW Shared Path Cyclists,Symonds St Total,Tamaki Drive,TeAtatu Peninsula Shared Path Cyclists,TeWero Bridge Bike Counter Cyclists,Twin Streams Shared Path Cyclists,Upper Harbour Shared Path Cyclists,Upper Queen St Cyclists,Victoria Street West Cyclists,Waterview Unitec Shared Path Cyclists
"Saturday, 30 March 2019",16,179,131,344,146,163,,55,320,277,48,,105,48,86,318,306,,368,21,386,531,,276,564,668,181,308,74,769,846,9,32,132,18,226,169,1122,136,613,186,339,141,84.2,269
"Sunday, 31 March 2019",15,237,119,341,182,111,,65,300,291,47,,87,70,95,306,427,,380,29,394,564,,352,652,714,154,319,85,815,930,18,40,176,46,247,157,1109,151,752,157,301,105,51,275
"Monday, 1 April 2019",2,237,174,112,195,54,,14,361,298,76,,89,51,126,254,149,,151,2,433,97,,475,735,437,73,98,75,611,588,7,25,125,5,90,223,655,136,837,62,30,168,72.4,102
"Tuesday, 2 April 2019",6,459,401,356,555,174,,44,888,648,129,,109,37,259,665,359,,524,13,939,363,,1129,1571,900,157,290,60,1437,1386,14,61,301,45,236,513,1589,265,840,90,152,350,168,242
"Wednesday, 3 April 2019",4,396,386,331,510,145,,44,865,593,100,,63,28,236,685,415,,503,19,851,331,54,1067,1529,817,134,218,50,1365,1297,15,52,284,43,255,521,1535,266,903,85,110,308,178.8,253
"Thursday, 4 April 2019",7,394,455,338,525,169,,59,896,696,115,,113,62,246,698,377,,482,6,859,392,61,1068,1547,902,181,290,78,1425,1328,21,51,312,31,249,493,1586,270,760,86,149,313,177.6,237
"Friday, 5 April 2019",20,359,331,330,463,148,,41,746,598,119,,113,55,226,611,375,,507,27,837,314,44,1043,1421,845,200,229,43,1268,1197,19,48,283,37,222,473,1426,244,696,117,145,289,171.4,204
"Saturday, 6 April 2019",12,59,47,71,99,42,,5,113,66,33,,81,46,46,125,74,,116,0,77,142,34,90,163,199,101,68,51,174,135,11,22,49,10,84,99,342,32,216,22,42,85,63.2,60
"Sunday, 7 April 2019",22,296,134,435,188,168,,58,368,374,40,,79,8,63,371,423,,512,39,385,682,20,322,807,950,179,626,48,1021,818,17,41,188,43,309,163,1399,152,839,203,366,110,108.8,385
"Monday, 8 April 2019",26,440,403,267,520,141,,42,871,691,108,,85,57,228,672,347,,407,8,909,355,49,1110,1643,925,166,305,54,1382,1362,15,39,320,34,269,558,1476,286,707,91,122,347,204.4,253
"Tuesday, 9 April 2019",13,530,454,346,548,157,,55,940,696,121,,90,55,223,789,388,,517,5,926,438,48,1123,1615,925,163,340,49,1497,1397,20,55,332,42,316,560,1769,279,785,112,160,306,178.6,292
"Wednesday, 10 April 2019",4,499,403,325,498,161,,44,946,661,110,,100,45,220,675,387,,571,5,885,388,33,1055,1639,980,140,327,48,1414,1369,21,48,334,53,281,551,1586,300,786,119,166,360,154.2,274
"Thursday, 11 April 2019",6,410,310,264,419,113,,32,665,535,115,,75,21,208,551,263,,398,7,686,216,34,834,1175,652,103,206,69,1000,904,12,35,214,21,137,426,1159,193,528,37,78,295,166.2,162
"Friday, 12 April 2019",1,327,276,305,365,105,,17,631,412,101,,93,22,192,432,212,,395,3,577,183,58,768,990,507,124,209,44,896,901,13,28,194,20,130,404,1015,166,558,30,54,270,173,129
